num,before,after_train,after_eva,after_test,id,lr,delta
11,0.098,1.000,0.913,0.906,68,0.000010
12,0.101,1.000,0.918,0.909,69,0.000010
1,0.102,1.000,0.912,0.907,36,0.000010
2,0.095,1.000,0.918,0.908,57,0.000010
3,0.095,1.000,0.918,0.910,61,0.000010
4,0.102,1.000,0.912,0.907,65,0.000010
5,0.102,1.000,0.912,0.909,70,0.000010
6,0.098,1.000,0.914,0.909,71,0.000010
7,0.098,1.000,0.914,0.910,72,0.000010
8,0.098,1.000,0.916,0.906,73,0.000010
9,0.102,1.000,0.915,0.911,69,0.000010
10,0.100,1.000,0.916,0.908,59,0.000010
11,0.098,1.000,0.917,0.912,74,0.000010
12,0.098,
